,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATG4B,1227.2844754844161,0.29966796110481886,0.10127069558059992,2.959078728419687,0.003085602609412017,0.007643507131375926
DTYMK,141.91071695908545,-0.3184402786540262,0.12773187013389525,-2.4930370025916035,0.012665564632754974,0.02459699215007319
ING5,681.1049873774007,-0.23331424097246448,0.12695729528526972,-1.8377379610066005,0.06610102726039617,0.10044580247422301
D2HGDH,537.0160814260488,-0.2845331322998292,0.14144915461334445,-2.01155767298581,0.044266585037965864,0.07123799775845208
NEU4,94.8669198718467,1.0081242945228974,0.3916925028988851,2.573764591004039,0.010059869445293664,0.020276663438689443
RTP5,84.66469154253856,1.8510514563408917,0.4090422825810698,4.525330351328714,6.030123731570351e-06,5.421149157280966e-05
CHL1,5172.532712957043,-0.21949786188934117,0.1536256092121001,-1.4287843219309604,0.15306623310962028,0.2067065364833592
LINC01266,1109.266767673071,-0.6247681248167394,0.250322344068284,-2.495854403817473,0.012565416453739342,0.02445278614520316
CNTN6,558.670599604226,0.9082055543056455,0.22747508351201617,3.992549602724601,6.536665371157738e-05,0.0003703001744897734
CNTN4,5087.94866706985,1.273496207307423,0.35360993622669296,3.601415222933689,0.00031648963010359906,0.0012451402299862714
IL5RA,25.960016486406328,1.1257303761666655,0.2794161077465941,4.028867144579954,5.604627892397975e-05,0.0003280282414661071
TRNT1,409.1958443525827,-0.20461588944637954,0.09653488246793156,-2.1196057240174504,0.034039309361108085,0.05690517021167457
CRBN,1116.3412066341748,-0.04373297574179959,0.09317044697780444,-0.4693867761761183,0.6387931988397137,0.6954413508842434
SUMF1,4308.707202002562,-0.6271394566715403,0.14270352950267906,-4.394701790888547,1.1092492200462653e-05,8.93846821801093e-05
LRRN1,999.3959555051763,-0.17283016320281053,0.156256842655645,-1.1060646066149529,0.26869855666757914,0.3357050417959897
SETMAR,162.36248500760914,-0.2683757313179828,0.12378349486154991,-2.168105946743201,0.030150626499433078,0.051256773308996285
ITPR1,2328.7854769731553,0.5001731956217818,0.1843273891673036,2.7135044763629925,0.006657566875805293,0.014335260779590272
BHLHE40-AS1,239.75220938416592,-0.010676454785172075,0.21383677025871128,-0.04992805854790606,0.9601797176938305,0.9680782443864113
BHLHE40,500.603459047183,0.0678186019842254,0.27176552228775386,0.2495482186751303,0.8029367472215534,0.8394760531121614
ARL8B,1543.3547254033142,-0.2836216343858458,0.07631698836455983,-3.716363033496672,0.00020211112405294892,0.0008843278142510227
AC026202.3,145.11378802128257,6.582954782114289,0.8375728254535996,7.859561081807059,3.8548181211705995e-15,6.340299714298097e-13
EDEM1,346.95703542248054,-0.6237251051583319,0.16516629525423004,-3.7763461618986565,0.00015914577656013298,0.0007361700127617017
AC027119.1,35.385327488929484,8.488893802153886,1.5071568233914412,5.632389191625042,1.777300386381631e-08,4.0384059328866134e-07
AC026167.1,109.8149022251382,1.036232494652615,0.23650930207413406,4.381360418237617,1.1794058937409316e-05,9.400176710355861e-05
AC069277.2,36.15064764546927,8.518842022195944,1.5041109692514878,5.663705801198496,1.4813830723365654e-08,3.4751278102106073e-07
GRM7-AS3,109.10272910486354,1.3525300733596601,0.23378462013504245,5.785368056198008,7.235373356553366e-09,1.9075554455874942e-07
GRM7,6676.2328803401315,1.1362373020166125,0.34272402110005507,3.315312706619122,0.0009154066042782379,0.002869741215144729
GRM7-AS1,99.14593082252928,0.8796987184170816,0.28557093175074877,3.0804911165990023,0.002066595193648474,0.0055177824816211056
LMCD1-AS1,6058.82211829426,-1.093259087724006,0.23923025550606458,-4.569903106157454,4.879497601614693e-06,4.580145803227696e-05
LMCD1,97.12453854529167,-0.10036634338899739,0.1859133440379191,-0.5398555112242323,0.5892966809802662,0.6513539641472602
SSUH2,68.5480350653225,0.6181044134607029,0.16859507352593614,3.666206850140349,0.00024617482521829847,0.0010277284165588843
CAV3,89.8403978710572,1.2377926475846746,0.30813724666227355,4.017017290160081,5.893940123410482e-05,0.00034123555738497325
OXTR,133.19638424697325,-0.4480292524863966,0.3419981435238738,-1.3100341653027745,0.19018427794852333,0.2495220484977272
RAD18,694.81414223553,-0.009786425172766886,0.15701530041085413,-0.06232784414741261,0.9503017551548056,0.9601862201822448
SRGAP3,4854.671332980484,-0.2752924313969747,0.13437360343535826,-2.0487091538734155,0.04049056356761046,0.06587909364631225
THUMPD3-AS1,1477.3036714296268,-0.006347650705404626,0.11965109912130054,-0.05305133636064196,0.9576910047697959,0.9661685093077317
THUMPD3,258.66697342162155,-0.3205193364680037,0.08003730354231868,-4.0046243724157105,6.211610388985856e-05,0.0003556441802617931
SETD5,4777.841686626905,-0.27470791948768636,0.08140747011594107,-3.3744804880491364,0.0007395515853750227,0.0024455722290879778
LHFPL4,797.203749068448,1.4141131875297352,0.3522123075470447,4.0149454099949455,5.945955542909185e-05,0.0003435599222677347
MTMR14,634.6592898153597,-0.5517623026105369,0.14692148863392382,-3.755490825343682,0.0001730020989782981,0.0007866894064127826
CPNE9,227.38148802012176,1.5585239884146398,0.256446221637375,6.077391113285552,1.2215357188799185e-09,4.209644760730462e-08
BRPF1,92.32387226661932,-0.11903727953024056,0.0986055396514782,-1.2072068156715987,0.22735250630001136,0.2907492645508362
OGG1,408.48203539325146,-0.1574625154651522,0.09719410163843593,-1.6200830380727833,0.10521444052127658,0.14983016648022013
CAMK1,413.75867058862883,0.8472773198448372,0.21310515521711562,3.9758649619790516,7.012391045232617e-05,0.0003891769478094206
TADA3,407.33856397629995,0.21559410677947755,0.15493157758671156,1.3915439972772148,0.16406052761221757,0.21952593849119323
TTLL3,184.78378682118364,-0.025661212150630434,0.13363113841798596,-0.19203018438984268,0.847718561678847,0.877422658877262
RPUSD3,191.7521585635216,0.06821476797598372,0.08031372545943123,0.8493538008075713,0.3956844521235181,0.46637921498662877
JAGN1,98.57406570097768,0.3020387511650035,0.14513941374549147,2.0810250184325683,0.0374316161419075,0.061650570327488524
IL17RE,62.71862804881622,0.7377842477378301,0.23431538860647003,3.1486802984883346,0.0016400951484016233,0.004564264021912151
IL17RC,277.36058765988633,0.08511416590238115,0.24348484634228493,0.3495665836334216,0.7266639929264147,0.773818027782293
CRELD1,1016.6017810089035,0.23887157578025509,0.13973453567817037,1.7094669876773498,0.08736448168992918,0.12765127276196597
PRRT3,199.15164864710363,1.179982674104684,0.23174714622114226,5.091681573410608,3.549017758171498e-07,5.091029041801215e-06
PRRT3-AS1,131.3588976404047,-0.4962013588364663,0.17313586245523901,-2.865965212520599,0.0041573992787967955,0.009768538500211822
